onset	duration	trial_type	block_n
130.02	14.9	task	1
144.92	10.0	rest	1
154.92	16.79	task	2
171.72	10.0	rest	2
181.72	17.18	task	3
198.91	10.0	rest	3
208.91	17.98	task	4
226.89	10.0	rest	4
236.89	18.07	task	5
254.96	10.0	rest	5
264.96	19.14	task	6
284.11	10.0	rest	6
294.11	20.08	task	7
314.19	10.0	rest	7
324.2	19.04	task	8
343.24	10.0	rest	8
353.24	18.84	task	9
372.08	10.0	rest	9
382.09	19.16	task	10
401.25	10.0	rest	10
411.25	17.92	task	11
429.17	10.0	rest	11
439.17	19.05	task	12
458.22	10.0	rest	12
468.22	18.72	task	13
486.94	10.0	rest	13
496.94	18.05	task	14
515.0	10.0	rest	14
525.0	18.26	task	15
543.26	10.0	rest	15
553.26	18.96	task	16
572.22	10.0	rest	16
582.23	18.01	task	17
600.24	10.0	rest	17
610.24	18.76	task	18
629.0	10.0	rest	18
639.01	19.05	task	19
658.06	10.0	rest	19
668.06	18.05	task	20
686.11	10.0	rest	20
696.12	18.9	task	21
715.02	10.0	rest	21
725.02	17.92	task	22
742.94	10.0	rest	22
752.94	17.97	task	23
770.91	10.0	rest	23
780.92	19.0	task	24
799.92	10.0	rest	24
809.92	19.0	task	25
828.92	10.0	rest	25
838.93	18.04	task	26
856.96	10.0	rest	26
866.97	17.96	task	27
884.92	10.0	rest	27
894.92	17.84	task	28
912.76	10.0	rest	28
